report_number,agency,crime_type,crime_date,report_date,location,disposition,latitude,longitude
2026-08160030,FSUPD,POSSESSION OF ALCOHOL BY MINOR,2026-08-16T01:59:00,2026-08-16T01:59:00,"715 W MADISON ST , TALLAHASSEE, FL 32304",Cleared by Arrest,30.4365079,-84.2952174
2026-08150154,FSUPD,PETIT THEFT 2ND DEG,2026-08-15T21:30:00,2026-08-15T22:15:00,"702 UNIVERSITY WAY , TALLAHASSEE, FL 32306",Victim Refused to Cooperate,30.440514,-84.294052
2026-08150031,FSUPD,DUI,2026-08-15T04:22:00,2026-08-15T04:22:00,"W ST AUGUSTINE ST/LORENE ST , TALLAHASSEE, FL 32304",Cleared by Arrest,,
2026-08140195,FSUPD,DRIV WHILE LIC SUSPEND REVOCATION EQUIV STATUS 1ST OFFENSE,2026-08-14T23:13:00,2026-08-14T23:13:00,"556 W TENNESSEE ST , TALLAHASSEE, FL 32301",Cleared by Arrest,30.4447739,-84.2897867
2026-08140195,FSUPD,It is unlawful for a person who has been arrested or lawfully detained by a law enforcement officer to give a false name,2026-08-14T23:13:00,2026-08-14T23:13:00,"556 W TENNESSEE ST , TALLAHASSEE, FL 32301",Cleared by Arrest,30.4447739,-84.2897867
2026-08140195,FSUPD,OPERATE MOTOR VEHICLE W/O VALID LIC 3RD/SUBSQ,2026-08-14T23:13:00,2026-08-14T23:13:00,"556 W TENNESSEE ST , TALLAHASSEE, FL 32301",Cleared by Arrest,30.4447739,-84.2897867
2026-08140147,FSUPD,LEAVE SCENE OF CRASH INVOLVE DAMAGE TO PROP,2026-08-14T14:36:00,2026-08-14T17:07:00,"860 TRADITIONS WAY , TALLAHASSEE, FL 32306",Inactive,30.441505,-84.297107
2026-08110164,FSUPD,Loitering and Prowling,2026-08-11T21:51:00,2026-08-11T21:51:00,"1000 W TENNESSEE ST , TALLAHASSEE, FL 32306",Cleared by Arrest,30.446909,-84.2994474
2026-08110164,FSUPD,TRESPASSING,2026-08-11T21:51:00,2026-08-11T21:51:00,"1000 W TENNESSEE ST , TALLAHASSEE, FL 32306",Cleared by Arrest,30.446909,-84.2994474
2026-08110086,FSUPD,FAILURE TO APPEAR OF DEFENDANT ON BAIL FOR MISDEMEANOR CHARGE,2026-08-11T10:15:00,2026-08-11T10:16:00,"1610 W TENNESSEE ST , TALLAHASSEE, FL 32304",Cleared by Arrest,30.4494482,-84.3081537
2026-08100057,FSUPD,OPERATE MOTOR VEHICLE W/O VALID LIC 3RD/SUBSQ,2026-08-10T14:09:00,2026-08-10T14:09:00,"556 W TENNESSEE ST , TALLAHASSEE, FL 32301",Cleared by Arrest,30.4447739,-84.2897867
